idx,wid,content,uid,uname,likes,created_time,keyword
0,Ii7MN70E2,昨天凌晨还在发微博，今天凌晨还在拍节目，还是这么危险的极限节目，可以看出是在高负荷工作了!既然知道有危险性，为什么你们节目组不准备好应急措施!这可是一条人命啊!,2591242720,国际撩汉指导师,61537,11月27日 11:15,高以翔
1,Ii7MN70E2,是不是有人录制节目中晕倒，是不是有人录制过程中体力不支一直说着跑不动了跑不动了，他们是明星，也是普通人，你们将人的生死放在哪里，是不是听听看看就过去了从来没想到他们是真的很累，你们的节目真的很坑人，停播吧。@追我吧,7228258601,和野雾零,33697,11月27日 11:15,高以翔
2,Ii7MN70E2,@浙江卫视中国蓝 @浙江卫视中国蓝 出来受死,6522403246,可爱小橘酱,14319,11月27日 11:15,高以翔
3,Ii7MN70E2,,1865932880,小三三很可爱,0,8分钟前,高以翔
4,Ii7MN70E2,我最爱的王沥川真的走了,5447516730,养条狗比你好,0,12分钟前,高以翔
5,Ii7MN70E2,原来我看过他那么多作品,3603339322,守护者8号,0,17分钟前,高以翔
6,Ii7MN70E2,。,7305344018,chljj陈慧玲,0,23分钟前,高以翔
7,Ii7MN70E2,多希望是高以翔给我们开了一个大大的玩笑！,6487828766,惠01236487828766,0,28分钟前,高以翔
8,Ii7MN70E2,。,7344123659,大展鸿图1989,0,35分钟前,高以翔
9,Ii7MN70E2,你们节目组也太不负责了，这是一条人命，这么危险的极限节目，为什么不做好应急工作？,6761465107,森沫浅夏80030,0,36分钟前,高以翔
10,Ii7MN70E2,唉,6337892960,江伟相-,0,41分钟前,高以翔
11,Ii7MN70E2,回复@天生黑变白的小小白:原来是安吉拉的粉丝啊 说这么多,6034034924,-不二猫鱼,0,今天 12:24,高以翔
12,Ii7MN70E2,@浙江卫视中国蓝 该死的应该是你们这群废物。@浙江卫视中国蓝,6312355869,花谷烟雨,0,今天 12:05,高以翔
13,Ii7MN70E2,一路走好，天堂没有压力,7221278160,魔仙堡楼下,0,今天 11:40,高以翔
14,Ii7MN70E2,回复@我的头卡住了:他们有权有势有钱⋯,1807078720,娱乐资讯报,0,今天 11:37,高以翔
15,Ii7MN70E2,嗯嗯,6071629899,123啧啧啧zyz,0,今天 11:35,高以翔
16,Ii7MN70E2,我的心里只装得下好吃的饭菜 装不下别人了 不如换你来？,014,夏日大叔,0,今天 11:29,高以翔
17,Ii7MN70E2,很可惜就这么走了唉😔 这种事浙江卫视出的不是第一次了怎么就不吸取教训呢,7344681568,潇洒虎牙哥,0,今天 11:04,高以翔
18,Ii7MN70E2,虽然长相是很men的，外形身材，可是他的眼神好温柔 好可惜我现在才发现，就是很单纯很温柔的眼睛。,6344259412,小透明亚子,0,今天 10:52,高以翔
19,Ii7MN70E2,回复@淘宝爱淘宝:给个充分的理由？？,7331772213,肖陶丫,0,今天 10:44,高以翔
20,Ii7MN70E2,听歌古古怪怪,7328768562,青草莓噢,0,今天 10:39,高以翔
21,Ii7MN70E2,还在等…等一个正面回应…等一个道歉,3249099991,佛系微博会员玩家,0,今天 10:37,高以翔
22,Ii7MN70E2,今天热搜都被撤了，二台还不出来道歉吗,5793037325,伊小檬,3,今天 10:21,高以翔
23,Ii7MN70E2,真的是痛心！,6173740085,y913____,1,今天 10:10,高以翔
24,Ii7MN70E2,善良帅气涵养各方面都完美的人🙏,3603802955,一非菲,2,今天 10:09,高以翔
25,Ii7MN70E2,请尊重生命，不管是他人的，还是自己的,7261535804,南康白起98499,0,今天 10:08,高以翔
26,Ii7MN70E2,太年轻了，好可惜,5920400291,其其格cd,0,今天 10:08,高以翔
27,Ii7MN70E2,相关节目制作方和制作组，应该负法律责任，生命的凋零背后的原因是什么，希望能给死者以及大众一个合理的说法，否则，没有人可以保证下一个人“莫名其妙”就死去的人是谁,7261535804,南康白起98499,1,今天 10:08,高以翔
28,Ii7MN70E2,惋惜,7076161536,茉莉蜜茶juju,0,今天 10:01,高以翔
29,Ii7MN70E2,回复@W魏小花:请你带点脑子 脑残粉这么多你是选择性眼瞎还是眼睛本来就瞎 前几天张艺兴那个热搜你是没看见? 一女的都想钻进车里来 张艺兴在里面一脸懵逼 又很无奈,6449337633,今天天气挺不错哦,0,今天 10:01,高以翔
30,Ii7MN70E2,,6976346358,红烧咖喱清蒸兔头,0,今天 10:00,高以翔
31,Ii7MN70E2,,7267069402,樱花树Wen,0,今天 09:51,高以翔
32,Ii7MN70E2,浙江台的策划 导演   台长都拉出来 半夜跑个四五条线  也尝尝什么滋味,6727232527,精分女孩的日常o3o,0,今天 09:49,高以翔
33,Ii7MN70E2,。。,5687591735,来自未来的陈独秀,0,今天 09:48,高以翔
34,Ii7MN70E2,…,5687591735,来自未来的陈独秀,0,今天 09:48,高以翔
35,Ii7MN70E2,哎,2486855703,人生的笔帽,0,今天 09:46,高以翔
36,Ii7MN70E2,热搜已经撤了,2747493881,这个二姐不太二,0,今天 09:44,高以翔
37,Ii7MN70E2,☹️,7267069402,樱花树Wen,0,今天 09:44,高以翔
38,Ii7MN70E2,😌,6130671504,vl小贱,0,今天 09:42,高以翔
39,Ii7MN70E2,明星猝死，天下缟素。每年四百多警察猝死，有这回事？,5608976212,-诸神黄昏-,0,今天 09:41,高以翔
40,Ii7MN70E2,。,5648149082,匪浅不薄,0,今天 09:40,高以翔
41,Ii7MN70E2,就是觉得,6403532116,君悦君z兮君不知,0,今天 09:35,高以翔
42,Ii7MN70E2,这是整个社会的悲哀，人心已经沸腾，社会早已麻木，我们究竟要等到什么时候才回思考这个问题:人生匆匆，何去何从？,7228869492,YogaLovers,1,今天 09:34,高以翔
43,Ii7MN70E2,再无王沥川,6666791864,星尘蕠薛,0,今天 09:33,高以翔
44,Ii7MN70E2,热搜被卖掉了,scesdp,PiscesDP,0,今天 09:22,高以翔
45,Ii7MN70E2,为什么是你。怎么可以是你,6347830604,认真搞笑的abcd,0,今天 09:20,高以翔
46,Ii7MN70E2,有这么多的前科还不重视安全问题，这次终于摊上大事了吧//@天生黑变白的小小白:13年4月录制中国星跳跃，释小龙助理在节目意外溺水身亡。15年3月，王宝强在拍摄真正男子汉时骨折。16年1月，吴莫愁录制王牌对王牌游戏环节时，不小心摔倒头部先着地。18年4月，李晨录制奔跑吧头部被学士帽砸伤。19年3月bab,ck1328,威勃雄風,0,今天 09:18,高以翔
47,Ii7MN70E2,,2419769972,西贝vip,0,今天 09:13,高以翔
48,Ii7MN70E2,g哎,7338529681,西乡89088,0,今天 09:06,高以翔
49,Ii7MN70E2,这个样子行吗？,6352190250,伟魏6352190250,0,今天 09:04,高以翔
50,Ii7MN70E2,回复@时光伊笑:因为过了五六分钟救援才过去抢救，已经过了抢救的黄金四分钟,5669137334,林子浅_州官,0,今天 08:58,高以翔
51,Ii7MN70E2,我还在等结果，等给他一个公道，不想让他就这样离开，不想原谅任何一个不应该原谅的人和事,5394764137,88年的小哥哥,0,今天 08:57,高以翔
52,Ii7MN70E2,太可惜了,2142867093,我要做一个apple,0,今天 08:55,高以翔
53,Ii7MN70E2,回复@F大狒狒:有的！王牌对wp那个鬼综艺！然后工作人员也是跟观众说不要出去乱说,5396198958,笨笨的榴莲,0,今天 08:52,高以翔
54,Ii7MN70E2,世界上最好的王沥川,5288622832,TFBOYS今天组团飞了吗,0,今天 08:31,高以翔
55,Ii7MN70E2,唉,7024988100,c恶魔l94546,0,今天 08:07,高以翔
56,Ii7MN70E2,一路走好…,6919172682,四川小辣妹-,0,今天 08:06,高以翔
57,Ii7MN70E2,9,5680690418,优雅疯姿态ny,0,今天 07:56,高以翔
58,Ii7MN70E2,2,5680690418,优雅疯姿态ny,0,今天 07:56,高以翔
59,Ii7MN70E2,，,6623109666,狠喜欢你吖,0,今天 07:50,高以翔
60,Ii7MN70E2,[淚][淚][淚],1930996532,蜜兒Bass,0,今天 07:42,高以翔
61,Ii7MN70E2,秀啊,7323091656,帝王宇轩8,0,今天 07:25,高以翔
62,Ii7MN70E2,！,7336570669,梦中人68067,0,今天 07:15,高以翔
63,Ii7MN70E2,一路走好,7340046521,懵懵懂懂清纯牛奶,0,今天 07:09,高以翔
64,Ii7MN70E2,世事无常,6366964600,刘海艳1976,0,今天 07:08,高以翔
65,Ii7MN70E2,现在看到这个新闻还会觉得缓不过来 想哭 多低调的一人啊 就这么可惜了了,5699109930,y-_huanhuan,0,今天 06:49,高以翔
66,Ii7MN70E2,。,7340568302,拾荒死者,0,今天 06:41,高以翔
67,Ii7MN70E2,。,6060434434,是甜甜的猫咪呀丶,0,今天 06:32,高以翔
68,Ii7MN70E2,一路安详，逝者安息,7180990718,神秘奶爸,0,今天 06:16,高以翔
69,Ii7MN70E2,回复@月微凉呀:有毛病？？都是女孩能不能善良点,5995246079,昀昀的girlfriend,0,今天 05:56,高以翔
70,Ii7MN70E2,是大明星吗？,6487545955,用户浪迹天涯的,0,今天 04:46,高以翔
71,Ii7MN70E2,唉，胸闷～王沥川没了,6414285189,kitty嵐嵐,0,今天 04:16,高以翔
72,Ii7MN70E2,哎,7312559866,林距离1019,0,今天 03:40,高以翔
73,Ii7MN70E2,可惜,2428340201,angel86的美好生活,0,今天 03:33,高以翔
74,Ii7MN70E2,2,5655286535,坤仔1228,0,今天 03:30,高以翔
75,Ii7MN70E2,累累累,2932568957,Ms梁姐姐,0,今天 03:28,高以翔
76,Ii7MN70E2,，,5849650629,厌鈊,0,今天 03:27,高以翔
77,Ii7MN70E2,浙江卫视受死！！,5583190138,wip一只猫的旅行,0,今天 03:25,高以翔
78,Ii7MN70E2,可惜,3553956833,girl隔壁女王大人,0,今天 03:25,高以翔
79,Ii7MN70E2,保佑,6413479003,一个李升飞,0,今天 03:24,高以翔
80,Ii7MN70E2,！n n,6476741836,女版索隆,0,今天 03:20,高以翔
81,Ii7MN70E2,2,6581271788,心灵感应199701,0,今天 03:17,高以翔
82,Ii7MN70E2,…,5472625132,如果有那么一人502,0,今天 03:17,高以翔
83,Ii7MN70E2,转发,5124580532,融融92037,0,今天 03:17,高以翔
84,Ii7MN70E2,。,6669483885,片场情人91416,0,今天 03:13,高以翔
85,Ii7MN70E2,都是些走了才红的人 唉,6613867949,叛逆害人,0,今天 03:09,高以翔
86,Ii7MN70E2,👏️👏️👏️,7308851836,七思七恋七惆怅58717,0,今天 03:08,高以翔
87,Ii7MN70E2,生命就这么逝去了,6193120285,虹20180901,0,今天 03:08,高以翔
88,Ii7MN70E2,浙江卫视该死,1840809450,hai霞hhx,0,今天 03:05,高以翔
89,Ii7MN70E2,9,6034912593,尔冉东刀,0,今天 03:04,高以翔
90,Ii7MN70E2,,7278522044,Zp种安9_w,0,今天 03:03,高以翔
91,Ii7MN70E2,666,6834523465,封心锁爱mlh,0,今天 03:01,高以翔
92,Ii7MN70E2,😓,3916941391,wb20131126,0,今天 03:01,高以翔
93,Ii7MN70E2,嗯,7335341417,HLS48264,0,今天 03:00,高以翔
94,Ii7MN70E2,,3722545420,YuHuYue,0,今天 02:58,高以翔
95,Ii7MN70E2,浙江卫视…停播吧,5854385503,我很丑6奈我何,0,今天 02:57,高以翔
96,Ii7MN70E2,叹,7146267958,尊龙的小粉丝,0,今天 02:54,高以翔
97,Ii7MN70E2,节目,5596931226,低配草履虫,0,今天 02:54,高以翔
98,Ii7MN70E2,回复@国际撩汉指导师:做娱乐节目的，有几个好人？相亲节目的，简直就是无聊，必须取消！全国老百姓反对！相亲节目就是港独！,6384832358,基层是基本,0,今天 02:52,高以翔
99,Ii7MN70E2,,3948019357,时尚旅游Kai心快乐,0,今天 02:51,高以翔
100,Ii7MN70E2,走好,2268660655,卡卡罗特27dy,0,今天 02:51,高以翔
101,Ii7MN70E2,。,6022953737,残痕冥蝎86185,0,今天 02:47,高以翔
102,Ii7MN70E2,,6155982434,LQM921,0,今天 02:46,高以翔
103,Ii7MN70E2,走,6501068882,咸鱼8484,0,今天 02:45,高以翔
104,Ii7MN70E2,。,6563391851,朱恶子10813,0,今天 02:44,高以翔
105,Ii7MN70E2,哭,5454868892,妍嫣dyy,0,今天 02:43,高以翔
106,Ii7MN70E2,。,5952941746,胖局局,0,今天 02:42,高以翔
107,Ii7MN70E2,nice,5409890958,你是我甜蜜的伤口_92552,0,今天 02:42,高以翔
108,Ii7MN70E2,。,6563101102,风云75318,0,今天 02:41,高以翔
109,Ii7MN70E2,。,6553980111,浪媳妇_25967,0,今天 02:39,高以翔
110,Ii7MN70E2,。。。。。,7341243846,Ros-烟绾断桥烟雨62487,0,今天 02:37,高以翔
111,Ii7MN70E2,。,6095434640,丢小丢j,0,今天 02:37,高以翔
112,Ii7MN70E2,在线咨询,3992041010,snwyl888,0,今天 02:37,高以翔
113,Ii7MN70E2,我擦，我不认识他,5414189479,喜欢鞋的男人,0,今天 02:36,高以翔
114,Ii7MN70E2,骄傲,6198787595,sweet阳有兵82475,0,今天 02:35,高以翔
115,Ii7MN70E2,。,5399036923,釆心z,0,今天 02:32,高以翔
116,Ii7MN70E2,回复@可爱小橘酱:是我,5992547825,熱_门_秘_书_合_集_收_藏s1,0,今天 02:32,高以翔
117,Ii7MN70E2,，，,6166254257,洛汐女嘉宾,0,今天 02:28,高以翔
118,Ii7MN70E2,,6467107223,张震超话小主持人,0,今天 02:28,高以翔
119,Ii7MN70E2,艺人都是用命来挣钱的啊,6331052055,奄奄一南,0,今天 02:26,高以翔
120,Ii7MN70E2,还行,7207152549,韩语人才网官方微博,0,今天 02:21,高以翔
121,Ii7MN70E2,太让人惋惜,5713022474,陈天福92,0,今天 02:13,高以翔
122,Ii7MN70E2,好好的人 突然就没了 太可惜  太无奈 ,7263148022,月亮月亮亮-,0,今天 02:13,高以翔
123,Ii7MN70E2,bnn,6904189340,Lxm-Hard,0,今天 02:11,高以翔
124,Ii7MN70E2,个,2170852273,艹雨HL田,0,今天 02:11,高以翔
125,Ii7MN70E2,666,6376863795,sexy波比,0,今天 02:11,高以翔
126,Ii7MN70E2,不要太拼命,5193182564,随思QI,0,今天 02:11,高以翔
127,Ii7MN70E2,心痛,5981933924,高慧慧o,0,今天 02:10,高以翔
128,Ii7MN70E2,。,5824901736,-李洪标-,0,今天 02:09,高以翔
129,Ii7MN70E2,，,6508770426,续爱MEI,0,今天 02:08,高以翔
